Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Ilie Sánchez,SKC,2019,D,900000,900000,9/13/19
Pity Martínez,ATL,2019,M,900000,900000,9/13/19
Jonathan Mensah,CLB,2019,D,800004,894004,9/13/19
Jan Gregus,MIN,2019,M,750000,883500,9/13/19
Jesús Medina,NYC,2019,M,750000,870833.33,9/13/19
Reto Ziegler,FCD,2019,D,820000.08,870000.08,9/13/19
Pedro Santos,CLB,2019,M,817560,864560,9/13/19
Joao Plata,RSL,2019,M,725004,856254,9/13/19
Héctor Villalba,ATL,2019,M,722499.96,830249.96,9/13/19
Leandro González Pirez,ATL,2019,D,775008,810008,9/13/19
Roland Lamah,CIN,2019,M,750000,806250,9/13/19
Chris Wondolowski,SJE,2019,F,800000.04,800000.04,9/13/19
Roger Espinoza,SKC,2019,M,800000.04,800000.04,9/13/19
Aaron Long,NYRB,2019,D,770000.04,800000.04,9/13/19
Alejandro Romero Gamarra,NYRB,2019,M,799999.92,799999.92,9/13/19
Marcelo,CHI,2019,D,774999.96,797499.96,9/13/19
Larrys Mabiala,POR,2019,D,750000,793333.33,9/13/19
Emanuel Cecchini,SEA,2019,M,648000,789000,9/13/19
Héber,NYC,2019,F,785000.04,788750.04,9/13/19
Diego Polenta,LAG,2019,D,687276,777276,9/13/19
Kendall Waston,CIN,2019,D,750000,776666.67,9/13/19
Marcelo Silva,RSL,2019,D,725004,776629,9/13/19
Jonathan Osorio,TOR,2019,M,750000,776250,9/13/19
Kim Kee-hee,SEA,2019,D,640000.08,772000.08,9/13/19
Daniel Royer,NYRB,2019,M,699999.96,768749.96,9/13/19
Sam Johnson,RSL,2019,F,650000.04,767500.04,9/13/19
Jon Erice,VAN,2019,M,654545.52,752363.7,9/13/19
Tim Parker,NYRB,2019,D,738200.04,752200.04,9/13/19
Kei Kamara,COL,2019,F,750000,750000,9/13/19
Rudy Camacho,MTL,2019,D,700000.08,749152.58,9/13/19
Brad Guzan,ATL,2019,GK,680004,740004,9/13/19
Román Torres,SEA,2019,D,670000.08,740000.08,9/13/19
Andrés Ríos,SJE,2019,F,660000,729250,9/13/19
Giancarlo González,LAG,2019,D,650000.04,719583.37,9/13/19
Edwin Gyasi,FCD,2019,M,570000,719225,9/13/19
Carlos Fierro,SJE,2019,M,660000,718800,9/13/19
Yordy Reyna,VAN,2019,F,650000.04,713140.04,9/13/19
Josh Sims,NYRB,2019,M,695967.96,710467.96,9/13/19
Paul Arriola,DCU,2019,M,675000,707000,9/13/19
Bacary Sagna,MTL,2019,D,660000,705000,9/13/19
Luciano Acosta,DCU,2019,M,600000,702000,9/13/19
Dax McCarty,CHI,2019,M,700000.08,700000.08,9/13/19
Osvaldo Alonso,MIN,2019,D,650000.04,697500.04,9/13/19
Graham Zusi,SKC,2019,D,625000.08,688333.41,9/13/19
Justin Meram,ATL,2019,M,650004,678754,9/13/19
Matt Besler,SKC,2019,D,574997.64,674997.64,9/13/19
Francisco Calvo,CHI,2019,D,600000,672600,9/13/19
Jamiro Monteiro,PHI,2019,M,618000,671200,9/13/19
Sergio Santos,PHI,2019,F,600000,668500,9/13/19
Angelo Rodríguez,MIN,2019,F,600000,667187.5,9/13/19
Christian Ramirez,HOU,2019,F,600000,666250,9/13/19
Darlington Nagbe,ATL,2019,M,665499.96,665499.96,9/13/19
Kellyn Acosta,COL,2019,D,549999.96,664999.96,9/13/19
Alexander Callens,NYC,2019,D,600000,664000,9/13/19
Chris Mavinga,TOR,2019,D,600000,663333.33,9/13/19
Przemyslaw Frankowski,CHI,2019,M,450000,661687.5,9/13/19
Hwang In-Beom,VAN,2019,M,600000,655000,9/13/19
Alberth Elis,HOU,2019,M,650340,650340,9/13/19
Maxime Chanot,NYC,2019,D,650000.04,650000.04,9/13/19
Bryan Acosta,FCD,2019,M,600000,650000,9/13/19
Tommy Smith,COL,2019,D,600000,640000,9/13/19
Maikel van der Werff,CIN,2019,D,549999.96,635166.63,9/13/19
Jordan Morris,SEA,2019,F,499500,619600,9/13/19
Jorge Villafaña,POR,2019,D,600000,617500,9/13/19
Florian Jungwirth,SJE,2019,D,550008,616675.07,9/13/19
Cristian Higuita,ORL,2019,M,474996,611662.67,9/13/19
Jorge Moreira,POR,2019,D,545454.6,607954.6,9/13/19
Juan Agudelo,NER,2019,F,574999.92,604999.92,9/13/19
Claude Dielna,POR,2019,D,560000.04,600000.04,9/13/19
Gustav Svensson,SEA,2019,D,570000,600000,9/13/19
Nicolas Benezet,TOR,2019,M,600000,600000,9/13/19
Walker Zimmerman,LAFC,2019,D,600000,600000,9/13/19
Kelvin Leerdam,SEA,2019,D,549999.96,599999.96,9/13/19
Cristian Roldan,SEA,2019,M,460000.08,596541.68,9/13/19
Andrew Wooten,PHI,2019,F,510000,595833.33,9/13/19
Haris Medunjanin,PHI,2019,M,550008,595008,9/13/19
Vito Mannone,MIN,2019,GK,540000,594000,9/13/19
Wil Trapp,CLB,2019,M,549996,593746,9/13/19
Santiago Mosquera,FCD,2019,M,500000.04,591400.04,9/13/19
Guram Kashia,SJE,2019,D,590000.04,590000.04,9/13/19
Favio Álvarez,LAG,2019,M,525000,586250,9/13/19
Cristian Colmán,FCD,2019,F,500000.04,585000.04,9/13/19
Wilfried Zahibo,NER,2019,M,513000,583000,9/13/19
Joe Corona,LAG,2019,M,549999.96,578499.96,9/13/19
